kind,etag,id,snippet.channelId,snippet.title,snippet.assignable,param_part,param_regionCode,param_hl,param_maxResults,param_pageToken,queryTime
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",38,UCBR8-60-B28hp2BmDPdntcQ,Foreign,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",39,UCBR8-60-B28hp2BmDPdntcQ,Horror,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",40,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",41,UCBR8-60-B28hp2BmDPdntcQ,Thriller,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",42,UCBR8-60-B28hp2BmDPdntcQ,Shorts,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",43,UCBR8-60-B28hp2BmDPdntcQ,Shows,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/S730Ilt-Fi-emsQJvJAAShlR6hM""",44,UCBR8-60-B28hp2BmDPdntcQ,Trailers,False,snippet,us,en,,,2020-02-04 13:17:01.883889+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",1,UCBR8-60-B28hp2BmDPdntcQ,Cine y animación,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",2,UCBR8-60-B28hp2BmDPdntcQ,Motor,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",10,UCBR8-60-B28hp2BmDPdntcQ,Música,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
